seccion;grupo;familia;subfam;auxsbf;descripm
10;0;0;0;10000;CAT.10000
10;0;0;1;10001;CAT.10001
10;0;1;0;10010;CAT.10010
10;0;1;1;10011;CAT.10011
10;0;1;2;10012;CAT.10012
10;0;1;3;10013;CAT.10013
10;0;2;0;10020;CAT.10020
10;0;2;1;10021;CAT.10021
10;0;3;0;10030;CAT.10030
10;0;3;1;10031;CAT.10031
10;0;3;2;10032;CAT.10032
10;0;3;3;10033;CAT.10033
10;0;3;4;10034;CAT.10034
10;0;4;0;10040;CAT.10040
10;0;4;1;10041;CAT.10041
10;0;4;2;10042;CAT.10042
10;0;4;3;10043;CAT.10043
10;1;0;0;10100;CAT.10100
10;1;0;1;10101;CAT.10101
10;1;1;0;10110;CAT.10110
10;1;1;1;10111;CAT.10111
10;1;1;2;10112;CAT.10112
10;1;1;3;10113;CAT.10113
10;1;2;0;10120;CAT.10120
10;1;2;1;10121;CAT.10121
10;1;2;2;10122;CAT.10122
10;1;2;3;10123;CAT.10123
10;1;2;4;10124;CAT.10124
10;1;2;5;10125;CAT.10125
10;1;3;0;10130;CAT.10130
10;1;3;1;10131;CAT.10131
10;1;3;2;10132;CAT.10132
10;1;3;3;10133;CAT.10133
10;1;3;4;10134;CAT.10134
10;1;3;5;10135;CAT.10135
10;1;3;6;10136;CAT.10136
10;1;4;0;10140;CAT.10140
10;1;4;1;10141;CAT.10141
10;1;4;2;10142;CAT.10142
10;1;4;3;10143;CAT.10143
10;1;4;4;10144;CAT.10144
10;1;4;5;10145;CAT.10145
10;1;4;6;10146;CAT.10146
10;1;4;7;10147;CAT.10147
10;1;5;0;10150;CAT.10150
10;1;5;1;10151;CAT.10151
10;1;5;2;10152;CAT.10152
10;1;5;3;10153;CAT.10153
10;1;5;4;10154;CAT.10154
10;1;6;0;10160;CAT.10160
10;1;6;1;10161;CAT.10161
10;1;6;2;10162;CAT.10162
10;1;7;0;10170;CAT.10170
10;1;7;1;10171;CAT.10171
10;2;0;0;10200;CAT.10200
10;2;0;1;10201;CAT.10201
10;2;0;2;10202;CAT.10202
10;2;1;0;10210;CAT.10210
10;2;1;1;10211;CAT.10211
10;2;1;2;10212;CAT.10212
10;2;2;0;10220;CAT.10220
10;2;2;1;10221;CAT.10221
10;2;2;2;10222;CAT.10222
10;2;2;3;10223;CAT.10223
10;2;2;4;10224;CAT.10224
10;2;2;5;10225;CAT.10225
10;2;3;0;10230;CAT.10230
